Observation,TermDays,strm,Headcount,HeadcountDiff,DummyData
1,-125,1158,16164,188,0
2,-124,1158,16326,162,0
3,-123,1158,16504,178,0
4,-122,1158,16677,173,0
5,-121,1158,16803,126,0
6,-120,1158,16894,91,0
7,,1158,16894,0,1
8,-118,1158,17063,169,0
9,-117,1158,17246,183,0
10,-116,1158,17388,142,0
11,-115,1158,17529,141,0
12,-114,1158,17635,106,0
13,-113,1158,17736,101,0
14,,1158,17736,0,1
15,-111,1158,17884,148,0
16,-110,1158,18005,121,0
17,-109,1158,18160,155,0
18,-108,1158,18319,159,0
19,-107,1158,18824,505,0
20,-106,1158,18944,120,0
21,-105,1158,18944,0,0
22,-104,1158,19098,154,0
23,-103,1158,19251,153,0
24,-102,1158,19372,121,0
25,-101,1158,19498,126,0
26,-100,1158,19611,113,0
27,-99,1158,19701,90,0
28,,1158,19701,0,1
29,-97,1158,19849,148,0
30,-96,1158,20008,159,0
31,,1158,20125,117,1
32,-94,1158,20241,116,0
33,-93,1158,20328,87,0
34,-92,1158,20397,69,0
35,,1158,20397,0,1
36,-90,1158,20455,58,0
37,-89,1158,20548,93,0
38,-88,1158,20642,94,0
39,-87,1158,20740,98,0
40,-86,1158,20790,50,0
41,-85,1158,20853,63,0
42,,1158,20853,0,1
43,-83,1158,20918,65,0
44,-82,1158,20984,66,0
45,-81,1158,21087,103,0
46,-80,1158,21161,74,0
47,-79,1158,21643,482,0
48,,1158,21745,102,1
49,,1158,21745,0,1
50,-76,1158,21847,102,0
51,-75,1158,21944,97,0
52,-74,1158,22033,89,0
53,,1158,22106,73,1
54,,1158,22174,68,1
55,,1158,22242,68,1
56,,1158,22242,0,1
57,,1158,22310,68,1
58,-68,1158,22379,69,0
59,-67,1158,22989,610,0
60,-66,1158,23053,64,0
61,-65,1158,23114,61,0
62,-64,1158,23172,58,0
63,,1158,23172,0,1
64,-62,1158,23254,82,0
65,-61,1158,23852,598,0
66,-60,1158,23932,80,0
67,-59,1158,23987,55,0
68,-58,1158,24568,581,0
69,-57,1158,24638,70,0
70,,1158,24638,0,1
71,-55,1158,24721,83,0
72,-54,1158,24836,115,0
73,-53,1158,24951,115,0
74,-52,1158,25059,108,0
75,-51,1158,25099,40,0
76,-50,1158,25158,59,0
77,,1158,25158,0,1
78,-48,1158,25252,94,0
79,-47,1158,25399,147,0
80,-46,1158,26046,647,0
81,-45,1158,26688,642,0
82,-44,1158,26816,128,0
83,-43,1158,26904,88,0
84,,1158,26904,0,1
85,-41,1158,27047,143,0
86,-40,1158,27679,632,0
87,-39,1158,27817,138,0
88,-38,1158,27924,107,0
89,-37,1158,28626,702,0
90,-36,1158,28705,79,0
91,,1158,28705,0,1
92,-34,1158,28849,144,0
93,-33,1158,29046,197,0
94,-32,1158,29199,153,0
95,-31,1158,29328,129,0
96,-30,1158,29907,579,0
97,-29,1158,30051,144,0
98,,1158,30051,0,1
99,-27,1158,30228,177,0
100,-26,1158,30383,155,0
101,-25,1158,31122,739,0
102,-24,1158,31284,162,0
103,-23,1158,31873,589,0
104,-22,1158,32034,161,0
105,,1158,32034,0,1
106,-20,1158,32242,208,0
107,-19,1158,32410,168,0
108,-18,1158,32569,159,0
109,-17,1158,32732,163,0
110,-16,1158,33320,588,0
111,-15,1158,33470,150,0
112,,1158,33470,0,1
113,-13,1158,33680,210,0
114,-12,1158,33876,196,0
115,-11,1158,34126,250,0
116,-10,1158,34546,420,0
117,-9,1158,34878,332,0
118,-8,1158,35020,142,0
119,,1158,35020,0,1
120,-6,1158,35185,165,0
121,-5,1158,35552,367,0
122,-4,1158,36345,793,0
123,-3,1158,35153,-1192,0
124,-2,1158,36253,1100,0
125,-1,1158,36544,291,0
126,1,1158,36954,410,0
127,-125,1168,18127,164,0
128,-124,1168,18299,172,0
129,-123,1168,18478,179,0
130,-122,1168,18627,149,0
131,-121,1168,18743,116,0
132,-120,1168,18836,93,0
