Observation,TermDays,strm,Headcount,HeadcountDiff,DummyData
1,-150,1158,212,0,0
2,-149,1158,219,7,0
3,-148,1158,221,2,0
4,,1158,221,0,1
5,-146,1158,3061,2840,0
6,-145,1158,4133,1072,0
7,-144,1158,4475,342,0
8,-143,1158,4755,280,0
9,-142,1158,7597,2842,0
10,-141,1158,8042,445,0
11,,1158,8042,0,1
12,-139,1158,8460,418,0
13,-138,1158,11246,2786,0
14,-137,1158,11713,467,0
15,-136,1158,12054,341,0
16,-135,1158,14229,2175,0
17,-134,1158,14529,300,0
18,,1158,14529,0,1
19,-132,1158,14933,404,0
20,-131,1158,15232,299,0
21,-130,1158,15505,273,0
22,-129,1158,15708,203,0
23,-128,1158,15847,139,0
24,-127,1158,15976,129,0
25,,1158,15976,0,1
26,-125,1158,16164,188,0
27,-124,1158,16326,162,0
28,-123,1158,16504,178,0
29,-122,1158,16677,173,0
30,-121,1158,16803,126,0
31,-120,1158,16894,91,0
32,,1158,16894,0,1
33,-118,1158,17063,169,0
34,-117,1158,17246,183,0
35,-116,1158,17388,142,0
36,-115,1158,17529,141,0
37,-114,1158,17635,106,0
38,-113,1158,17736,101,0
39,,1158,17736,0,1
40,-111,1158,17884,148,0
41,-110,1158,18005,121,0
42,-109,1158,18160,155,0
43,-108,1158,18319,159,0
44,-107,1158,18824,505,0
45,-106,1158,18944,120,0
46,-105,1158,18944,0,0
47,-104,1158,19098,154,0
48,-103,1158,19251,153,0
49,-102,1158,19372,121,0
50,-101,1158,19498,126,0
51,-100,1158,19611,113,0
52,-99,1158,19701,90,0
53,,1158,19701,0,1
54,-97,1158,19849,148,0
55,-96,1158,20008,159,0
56,,1158,20125,117,1
57,-94,1158,20241,116,0
58,-93,1158,20328,87,0
59,-92,1158,20397,69,0
60,,1158,20397,0,1
61,-90,1158,20455,58,0
62,-89,1158,20548,93,0
63,-88,1158,20642,94,0
64,-87,1158,20740,98,0
65,-86,1158,20790,50,0
66,-85,1158,20853,63,0
67,,1158,20853,0,1
68,-83,1158,20918,65,0
69,-82,1158,20984,66,0
70,-81,1158,21087,103,0
71,-80,1158,21161,74,0
72,-79,1158,21643,482,0
73,,1158,21745,102,1
74,,1158,21745,0,1
75,-76,1158,21847,102,0
76,-75,1158,21944,97,0
77,-74,1158,22033,89,0
78,,1158,22106,73,1
79,,1158,22174,68,1
80,,1158,22242,68,1
81,,1158,22242,0,1
82,,1158,22310,68,1
83,-68,1158,22379,69,0
84,-67,1158,22989,610,0
85,-66,1158,23053,64,0
86,-65,1158,23114,61,0
87,-64,1158,23172,58,0
88,,1158,23172,0,1
89,-62,1158,23254,82,0
90,-61,1158,23852,598,0
91,-60,1158,23932,80,0
92,-59,1158,23987,55,0
93,-58,1158,24568,581,0
94,-57,1158,24638,70,0
95,,1158,24638,0,1
96,-55,1158,24721,83,0
97,-54,1158,24836,115,0
98,-53,1158,24951,115,0
99,-52,1158,25059,108,0
100,-51,1158,25099,40,0
101,-50,1158,25158,59,0
102,,1158,25158,0,1
103,-48,1158,25252,94,0
104,-47,1158,25399,147,0
105,-46,1158,26046,647,0
106,-45,1158,26688,642,0
107,-44,1158,26816,128,0
108,-43,1158,26904,88,0
109,,1158,26904,0,1
110,-41,1158,27047,143,0
111,-40,1158,27679,632,0
112,-39,1158,27817,138,0
113,-38,1158,27924,107,0
114,-37,1158,28626,702,0
115,-36,1158,28705,79,0
116,,1158,28705,0,1
117,-34,1158,28849,144,0
118,-33,1158,29046,197,0
119,-32,1158,29199,153,0
120,-31,1158,29328,129,0
121,-30,1158,29907,579,0
122,-29,1158,30051,144,0
123,,1158,30051,0,1
124,-27,1158,30228,177,0
125,-26,1158,30383,155,0
126,-25,1158,31122,739,0
127,-24,1158,31284,162,0
128,-23,1158,31873,589,0
129,-22,1158,32034,161,0
130,,1158,32034,0,1
131,-20,1158,32242,208,0
132,-19,1158,32410,168,0
133,-18,1158,32569,159,0
134,-17,1158,32732,163,0
135,-16,1158,33320,588,0
136,-15,1158,33470,150,0
137,,1158,33470,0,1
138,-13,1158,33680,210,0
139,-12,1158,33876,196,0
140,-11,1158,34126,250,0
141,-10,1158,34546,420,0
142,-9,1158,34878,332,0
143,-8,1158,35020,142,0
144,,1158,35020,0,1
145,-6,1158,35185,165,0
146,-5,1158,35552,367,0
147,-4,1158,36345,793,0
148,-3,1158,35153,-1192,0
149,-2,1158,36253,1100,0
150,-1,1158,36544,291,0
151,1,1158,36954,410,0
152,-150,1168,9408,0,0
153,-149,1168,9598,190,0
154,-148,1168,9793,195,0
155,,1168,9793,0,1
156,-146,1168,12177,2384,0
157,-145,1168,12581,404,0
158,-144,1168,12918,337,0
159,-143,1168,13187,269,0
160,-142,1168,13340,153,0
161,-141,1168,13520,180,0
162,,1168,13520,0,1
163,-139,1168,15756,2236,0
164,-138,1168,16068,312,0
165,-137,1168,16318,250,0
166,-136,1168,16661,343,0
167,-135,1168,16805,144,0
168,-134,1168,16946,141,0
169,,1168,16946,0,1
170,-132,1168,17155,209,0
171,-131,1168,17377,222,0
172,-130,1168,17549,172,0
173,-129,1168,17698,149,0
174,-128,1168,17831,133,0
175,-127,1168,17963,132,0
176,,1168,17963,0,1
177,-125,1168,18127,164,0
178,-124,1168,18299,172,0
179,-123,1168,18478,179,0
180,-122,1168,18627,149,0
181,-121,1168,18743,116,0
182,-120,1168,18836,93,0
183,,1168,18836,0,1
184,-118,1168,18963,127,0
185,-117,1168,19109,146,0
186,-116,1168,19233,124,0
187,-115,1168,19341,108,0
188,-114,1168,19874,533,0
189,-113,1168,19987,113,0
190,,1168,19987,0,1
191,-111,1168,20144,157,0
192,-110,1168,20307,163,0
193,-109,1168,20440,133,0
194,-108,1168,20590,150,0
195,-107,1168,20702,112,0
196,-106,1168,20817,115,0
197,,1168,20817,0,1
198,-104,1168,20989,172,0
199,-103,1168,21189,200,0
200,-102,1168,21349,160,0
201,-101,1168,21491,142,0
202,-100,1168,21572,81,0
203,-99,1168,21646,74,0
204,,1168,21646,0,1
205,-97,1168,21728,82,0
206,-96,1168,21826,98,0
207,-95,1168,21897,71,0
208,-94,1168,21965,68,0
209,-93,1168,22009,44,0
210,-92,1168,22052,43,0
211,,1168,22052,0,1
212,-90,1168,22094,42,0
213,-89,1168,22172,78,0
214,-88,1168,22264,92,0
215,-87,1168,22350,86,0
216,-86,1168,22814,464,0
217,-85,1168,22900,86,0
218,,1168,22900,0,1
219,-83,1168,22996,96,0
220,-82,1168,23071,75,0
221,-81,1168,23149,78,0
222,-80,1168,23220,71,0
223,-79,1168,23277,57,0
224,-78,1168,23328,51,0
225,,1168,23328,0,1
226,-76,1168,23397,69,0
227,-75,1168,24028,631,0
228,-74,1168,24090,62,0
229,-73,1168,24143,53,0
230,-72,1168,24778,635,0
231,-71,1168,24827,49,0
232,,1168,24827,0,1
233,-69,1168,24884,57,0
234,-68,1168,25489,605,0
235,-67,1168,25574,85,0
236,-66,1168,25653,79,0
237,-65,1168,26271,618,0
238,-64,1168,26324,53,0
239,,1168,26324,0,1
240,-62,1168,26427,103,0
241,-61,1168,26571,144,0
242,-60,1168,26657,86,0
243,-59,1168,27258,601,0
244,-58,1168,27325,67,0
245,-57,1168,27374,49,0
246,,1168,27374,0,1
247,-55,1168,27395,21,0
248,-54,1168,27490,95,0
249,-53,1168,27582,92,0
250,-52,1168,28097,515,0
251,-51,1168,28211,114,0
252,-50,1168,28318,107,0
253,,1168,28318,0,1
254,-48,1168,28447,129,0
255,-47,1168,28591,144,0
256,-46,1168,28698,107,0
257,-45,1168,29351,653,0
258,-44,1168,29439,88,0
259,-43,1168,29507,68,0
260,,1168,29507,0,1
261,-41,1168,29626,119,0
262,-40,1168,29763,137,0
263,-39,1168,29908,145,0
264,-38,1168,30016,108,0
265,-37,1168,30644,628,0
266,-36,1168,30762,118,0
267,,1168,30762,0,1
268,-34,1168,30933,171,0
269,-33,1168,31074,141,0
270,-32,1168,31791,717,0
271,-31,1168,31945,154,0
272,-30,1168,32542,597,0
273,-29,1168,32675,133,0
274,,1168,32675,0,1
275,-27,1168,32840,165,0
276,-26,1168,32993,153,0
277,-25,1168,33155,162,0
278,-24,1168,33306,151,0
279,-23,1168,33898,592,0
280,-22,1168,34027,129,0
281,,1168,34027,0,1
282,-20,1168,34239,212,0
283,-19,1168,34405,166,0
284,-18,1168,34561,156,0
285,-17,1168,34716,155,0
286,-16,1168,34832,116,0
287,-15,1168,34950,118,0
288,,1168,34950,0,1
289,-13,1168,35119,169,0
290,-12,1168,35710,591,0
291,-11,1168,35780,70,0
292,-10,1168,35651,-129,0
293,-9,1168,36392,741,0
294,-8,1168,36518,126,0
295,,1168,36518,0,1
296,-6,1168,36912,394,0
297,-5,1168,37222,310,0
298,-4,1168,37549,327,0
299,-3,1168,36717,-832,0
300,-2,1168,37418,701,0
301,-1,1168,37600,182,0
302,1,1168,37874,274,0
303,-150,1178,8165,0,0
304,-149,1178,8509,344,0
305,-148,1178,8794,285,0
306,,1178,8794,0,1
307,-146,1178,9139,345,0
308,-145,1178,9428,289,0
309,-144,1178,9777,349,0
310,-143,1178,12454,2677,0
311,-142,1178,12747,293,0
312,-141,1178,13059,312,0
313,,1178,13059,0,1
314,-139,1178,13384,325,0
315,-138,1178,13736,352,0
316,-137,1178,14018,282,0
317,-136,1178,16137,2119,0
318,-135,1178,16354,217,0
319,-134,1178,16509,155,0
320,,1178,16509,0,1
321,-132,1178,16776,267,0
322,-131,1178,17029,253,0
323,-130,1178,17219,190,0
324,-129,1178,17389,170,0
325,-128,1178,17496,107,0
326,-127,1178,17614,118,0
327,,1178,17614,0,1
328,-125,1178,17805,191,0
329,-124,1178,17979,174,0
330,-123,1178,18142,163,0
331,-122,1178,18301,159,0
332,-121,1178,18424,123,0
333,-120,1178,18530,106,0
334,,1178,18530,0,1
335,-118,1178,18722,192,0
336,-117,1178,18919,197,0
337,-116,1178,19092,173,0
338,-115,1178,19243,151,0
339,-114,1178,19751,508,0
340,-113,1178,19886,135,0
341,,1178,19886,0,1
342,-111,1178,20052,166,0
343,-110,1178,20205,153,0
344,-109,1178,20368,163,0
345,-108,1178,20576,208,0
346,-107,1178,20691,115,0
347,-106,1178,20792,101,0
348,,1178,20792,0,1
349,-104,1178,20918,126,0
350,-103,1178,21100,182,0
351,-102,1178,21251,151,0
352,-101,1178,21385,134,0
353,-100,1178,21483,98,0
354,-99,1178,21559,76,0
355,,1178,21559,0,1
356,-97,1178,21652,93,0
357,-96,1178,21742,90,0
358,-95,1178,21833,91,0
359,-94,1178,21908,75,0
360,-93,1178,21959,51,0
361,-92,1178,22017,58,0
