Observation,TermDays,strm,Headcount,HeadcountDiff,DummyData,SCH,SCHDiff
1,,1118,15424,0,1,173218,0
2,-124,1118,15533,109,0,174455.5,1237.5
3,-123,1118,15642,109,0,175693,1237.5
4,-121,1118,15857,215,0,178280,2587
5,-120,1118,16063,206,0,180457,2177
6,-119,1118,16236,173,0,182611,2154
7,-118,1118,16382,146,0,184406.5,1795.5
8,-117,1118,16494,112,0,185677,1270.5
9,-116,1118,16596,102,0,186882.5,1205.5
10,,1118,16751,155,1,188621,1738.5
11,-113,1118,16905,154,0,190360,1739
12,-112,1118,17038,133,0,191756,1396
13,,1118,17338,300,1,195103,3347
14,-110,1118,17637,299,0,198449,3346
15,-109,1118,17749,112,0,199746,1297
16,-107,1118,17894,145,0,201433.5,1687.5
17,-106,1118,18040,146,0,203176,1742.5
18,-105,1118,18187,147,0,204801,1625
19,-104,1118,18346,159,0,206504,1703
20,-103,1118,18455,109,0,207688,1184
21,-102,1118,18567,112,0,208854,1166
22,-100,1118,18732,165,0,210590,1736
23,-99,1118,18878,146,0,212552,1962
24,-98,1118,18974,96,0,213693.5,1141.5
25,-97,1118,19086,112,0,215207.5,1514
26,-96,1118,19481,395,0,219890.5,4683
27,-95,1118,19547,66,0,220753.5,863
28,-93,1118,19651,104,0,221927.5,1174
29,-92,1118,19746,95,0,223007.5,1080
30,-91,1118,19825,79,0,223698.5,691
31,-90,1118,19878,53,0,224474,775.5
32,-89,1118,19924,46,0,224970,496
33,-88,1118,19981,57,0,225607.5,637.5
34,-86,1118,20017,36,0,225964.5,357
35,-85,1118,20094,77,0,226886.5,922
36,-84,1118,20255,161,0,228469.5,1583
37,-83,1118,20365,110,0,229749,1279.5
38,-82,1118,20645,280,0,232816,3067
39,-81,1118,20715,70,0,233657,841
40,-79,1118,20833,118,0,235031,1374
41,-78,1118,20912,79,0,235884,853
42,-77,1118,20992,80,0,236818.5,934.5
43,-76,1118,21062,70,0,237618,799.5
44,-75,1118,21314,252,0,240502.5,2884.5
45,-74,1118,21391,77,0,241260,757.5
46,-72,1118,21498,107,0,242362,1102
47,-71,1118,21656,158,0,243937.5,1575.5
48,-70,1118,21727,71,0,244813.5,876
49,-69,1118,21810,83,0,245665.5,852
50,-68,1118,22415,605,0,254255.5,8590
51,-67,1118,22481,66,0,254963.5,708
52,-65,1118,22557,76,0,255801.5,838
53,-64,1118,23181,624,0,264691.5,8890
54,-63,1118,23263,82,0,265703.5,1012
55,-62,1118,23350,87,0,266693,989.5
56,-61,1118,23713,363,0,270595,3902
57,-60,1118,23793,80,0,271463,868
58,-58,1118,23901,108,0,272591,1128
59,-57,1118,24534,633,0,281403.5,8812.5
60,-56,1118,24616,82,0,282419.5,1016
61,-55,1118,24715,99,0,283576,1156.5
62,-54,1118,25325,610,0,292102,8526
63,-53,1118,25375,50,0,292661,559
64,-51,1118,25397,22,0,292970,309
65,-50,1118,25494,97,0,293968,998
66,-49,1118,25629,135,0,295347,1379
67,-48,1118,25722,93,0,296503,1156
68,-47,1118,26140,418,0,301188,4685
69,-46,1118,26262,122,0,302540,1352
70,-44,1118,26423,161,0,304307.5,1767.5
71,-43,1118,26573,150,0,306243.5,1936
72,-42,1118,27263,690,0,315485.5,9242
73,-41,1118,27408,145,0,317202,1716.5
74,-40,1118,27559,151,0,318821.5,1619.5
75,-39,1118,27739,180,0,320530.5,1709
76,-37,1118,27928,189,0,322413.5,1883
77,-36,1118,28689,761,0,332387,9973.5
78,-35,1118,28882,193,0,334262.5,1875.5
79,-34,1118,29051,169,0,336219,1956.5
80,-33,1118,29589,538,0,341905,5686
81,-32,1118,29694,105,0,343108.5,1203.5
82,-30,1118,29896,202,0,344839,1730.5
83,-29,1118,30114,218,0,347090,2251
84,-28,1118,30298,184,0,349082,1992
85,-27,1118,30484,186,0,350960.5,1878.5
86,-26,1118,30980,496,0,355999.5,5039
87,-25,1118,31162,182,0,357784.5,1785
88,-23,1118,31446,284,0,360464,2679.5
